case_id,sequence,expense_date,category,amount_gbp,claimant,approver,purpose,destination,venue,receipt_present,manager_approved,finance_approved,cfo_approved,catalog_available,catalog_unavailability_documented,travel_mode,transport_alternative_available,after_2200_work,alcohol_gbp,tip_gbp,requested_exception,notes
LAB-001,1,2026-10-01,hotel,185,EMP-01,MGR-01,Client workshop; overnight travel required,Lyon,Hotel,yes,yes,no,no,,,,,,,,no,Standard business trip
LAB-002,2,2026-10-02,meal,24,EMP-01,MGR-01,Work planning meeting,,Office,yes,yes,no,no,,,,,,0,0,no,Refreshments during meeting
LAB-003,3,2026-10-03,equipment,35,EMP-01,MGR-01,Workstation equipment,,External retailer,yes,yes,no,no,yes,no,,,,,,no,Routine purchase
LAB-004,4,2026-10-04,travel,22,EMP-01,MGR-01,Client travel,,,yes,yes,no,no,,,Rail,yes,no,,,no,"Alternative transport status is a recorded fact, not an interpretation"
LAB-005,5,2026-10-05,hotel,255,EMP-02,MGR-01,Client workshop; overnight travel required,Paris,Hotel,yes,yes,no,no,,,,,,,,no,Standard business trip
LAB-006,6,2026-10-06,meal,44,EMP-02,MGR-01,Work planning meeting,,Office,yes,yes,no,no,,,,,,0,0,no,Refreshments during meeting
LAB-007,7,2026-10-07,equipment,115,EMP-02,MGR-01,Workstation equipment,,External retailer,yes,yes,no,no,yes,no,,,,,,no,Routine purchase
LAB-008,8,2026-10-08,travel,38,EMP-02,MGR-01,Client travel,,,yes,yes,no,no,,,Taxi,no,no,,,no,"Alternative transport status is a recorded fact, not an interpretation"
LAB-009,9,2026-10-09,hotel,318,EMP-03,MGR-01,Client workshop; overnight travel required,Paris,Hotel,yes,yes,no,no,,,,,,,,no,Standard business trip
LAB-010,10,2026-10-10,meal,98,EMP-03,MGR-01,Work planning meeting,,Office,yes,yes,no,no,,,,,,0,0,no,Refreshments during meeting
LAB-011,11,2026-10-11,equipment,280,EMP-03,MGR-01,Workstation equipment,,External retailer,yes,yes,no,no,no,yes,,,,,,no,Urgent replacement
LAB-012,12,2026-10-12,travel,75,EMP-03,MGR-01,Client travel,,,yes,yes,no,no,,,Rail,yes,no,,,no,"Alternative transport status is a recorded fact, not an interpretation"
LAB-013,13,2026-10-13,hotel,345,EMP-04,MGR-01,Client workshop; overnight travel required,Lyon,Hotel,yes,yes,no,no,,,,,,,,no,Standard business trip
LAB-014,14,2026-10-14,meal,158,EMP-04,MGR-01,Team celebration,,Restaurant,yes,yes,no,no,,,,,,0,12,no,Meal followed a separate meeting
LAB-015,15,2026-10-15,equipment,520,EMP-04,MGR-01,Workstation equipment,,External retailer,yes,yes,no,no,yes,no,,,,,,no,Routine purchase
LAB-016,16,2026-10-16,travel,105,EMP-04,MGR-01,Client travel,,,yes,yes,no,no,,,Taxi,yes,yes,,,no,"Alternative transport status is a recorded fact, not an interpretation"
LAB-017,17,2026-10-17,hotel,395,EMP-05,MGR-01,Client workshop; overnight travel required,Paris,Hotel,no,yes,no,no,,,,,,,,no,Large event week
LAB-018,18,2026-10-18,meal,218,EMP-05,MGR-01,Team celebration,,Restaurant,no,yes,no,no,,,,,,20,0,no,Refreshments during meeting
LAB-019,19,2026-10-19,equipment,850,EMP-05,MGR-01,Workstation equipment,,External retailer,no,yes,no,no,yes,no,,,,,,no,Routine purchase
LAB-020,20,2026-10-20,travel,145,EMP-05,MGR-01,Client travel,,,no,yes,no,no,,,Rail,yes,no,,,no,"Alternative transport status is a recorded fact, not an interpretation"
LAB-021,21,2026-10-21,hotel,275,EMP-01,MGR-01,Client workshop; overnight travel required,Paris,Hotel,yes,yes,yes,no,,,,,,,,no,Standard business trip
LAB-022,22,2026-10-22,meal,80,EMP-01,MGR-01,Work planning meeting,,Office,yes,yes,yes,no,,,,,,0,0,no,Refreshments during meeting
LAB-023,23,2026-10-23,equipment,1200,EMP-01,MGR-01,Workstation equipment,,External retailer,yes,yes,yes,no,yes,no,,,,,,no,Routine purchase
